No,Title,Rating,Votes,Duration,Genre
431,Unsinkable,,0,,war
432,Unsinkable,,0,,war
433,Unsinkable,,0,,war
434,Unsinkable,,0,,war
435,Whiskey on the Rocks,7.1,144,30m,war
436,De Joodse Raad,8.2,60,45m,war
437,De Joodse Raad,8.6,44,51m,war
438,De Joodse Raad,8.7,44,,war
439,De Joodse Raad,8.6,42,,war
440,De Joodse Raad,8.6,44,,war
441,The Sympathizer,7.8,1100,58m,war
442,Our Last Crusade or The Rise of a New World,8.8,54,,war
443,The Sympathizer,7.4,736,1h,war
444,The Sympathizer,7.6,494,1h,war
445,Vikings: Valhalla,7.5,1000,,war
446,The Sympathizer,7.6,624,1h,war
447,The Sympathizer,7.9,611,59m,war
448,The Sympathizer,7.1,494,57m,war
449,The Sympathizer,7.5,458,53m,war
450,Rise of the Raven,7.1,923,,war
451,Halo,7.5,3900,58m,war
452,Halo,7.1,3400,46m,war
453,Vikings: Valhalla,7.6,929,,war
454,Vikings: Valhalla,7.4,890,,war
455,Vikings: Valhalla,7.5,867,,war
456,Vikings: Valhalla,7.6,839,,war
457,Vikings: Valhalla,7.6,838,,war
458,Vikings: Valhalla,8.0,891,,war
459,Vikings: Valhalla,7.6,997,,war
460,SEAL Team,7.5,359,44m,war
461,Creature Commandos,7.3,4000,,war
462,Creature Commandos,8.7,3800,,war
463,Creature Commandos,8.5,3800,,war
464,Creature Commandos,7.9,4000,,war
465,Creature Commandos,7.6,2900,,war
466,Halo,8.8,5200,45m,war
467,Halo,6.8,3100,1h 1m,war
468,Halo,7.5,2900,54m,war
469,Halo,7.7,2800,48m,war
470,Halo,8.3,3600,54m,war
471,Halo,7.0,3500,54m,war
472,Thomas and Friends: Sodor at War,,0,,war
473,The Tattooist of Auschwitz,7.6,537,55m,war
474,The Tattooist of Auschwitz,7.7,456,52m,war
475,The Tattooist of Auschwitz,7.8,425,55m,war
476,The Tattooist of Auschwitz,7.9,411,51m,war
477,The Tattooist of Auschwitz,8.0,395,54m,war
478,The Tattooist of Auschwitz,8.1,403,59m,war
479,We Were the Lucky Ones,7.8,227,56m,war
480,We Were the Lucky Ones,8.2,263,53m,war
481,We Were the Lucky Ones,7.4,354,54m,war
482,We Were the Lucky Ones,7.4,303,53m,war
483,We Were the Lucky Ones,7.7,299,51m,war
484,We Were the Lucky Ones,8.0,231,55m,war
485,We Were the Lucky Ones,8.0,200,55m,war
