No,Title,Rating,Votes,Duration,Genre,Duration_Min
120,Whiskey on the Rocks,7.0,3000,,biography,
121,Clipped,6.5,2400,,biography,
122,Riefenstahl,7.1,956,1h 55m,biography,115.0
123,Nahir,4.7,1200,2h 2m,biography,122.0
124,Drazen,6.4,1800,1h 40m,biography,100.0
125,Hola Frida,6.8,74,1h 22m,biography,82.0
126,The Shamrock Spitfire,5.1,525,1h 48m,biography,108.0
127,"Siggi - drengen, der blev FBI-spion",6.7,144,1h 30m,biography,90.0
128,La Casa,6.9,1100,1h 23m,biography,83.0
129,The Ballad of Davy Crockett,4.6,276,1h 36m,biography,96.0
130,My Mom's Murder,,0,,biography,
131,Boléro,6.5,962,2h,biography,120.0
132,76 Days Adrift,,0,1h 45m,biography,105.0
133,Ataturk II: 1881-1919,8.8,2500,2h 21m,biography,141.0
134,Kaulitz & Kaulitz,7.1,1200,,biography,
135,I Am Nevenka,7.0,1300,1h 52m,biography,112.0
136,Lula,5.5,209,1h 30m,biography,90.0
137,Samia,6.7,190,1h 42m,biography,102.0
138,Gundi: Legend of Love,8.9,5700,2h 46m,biography,166.0
139,Marco,6.8,1500,1h 41m,biography,101.0
140,Unexplainable,7.1,361,1h 56m,biography,116.0
141,Richard Ramirez: The Night Stalker Tapes,6.7,217,,biography,
142,The Great Ambition,7.1,1000,2h 3m,biography,123.0
143,The White Death,,0,5m,biography,5.0
144,National Theatre Live: Nye,8.1,292,2h 40m,biography,160.0
145,"Disco, Ibiza, Locomia",6.0,1600,1h 44m,biography,104.0
146,Tears of Cem Karaca,7.2,2300,2h 3m,biography,123.0
147,Becoming Madonna,6.8,483,1h 31m,biography,91.0
148,Nedelja,7.2,1900,2h 10m,biography,130.0
149,"Coppola, the Agent",7.1,759,,biography,
150,Federer: Twelve Final Days,7.3,4300,1h 28m,biography,88.0
151,Um Lobo Entre os Cisnes,7.7,30,1h 50m,biography,110.0
152,Ravens,7.8,91,1h 57m,biography,117.0
153,Main Atal Hoon,6.9,6400,2h 19m,biography,139.0
154,ZEF: The Story of Die Antwoord,7.4,859,1h 30m,biography,90.0
155,Seul,6.8,65,1h 38m,biography,98.0
156,Hustlers,8.1,599,,biography,
157,The Truth vs. Alex Jones,7.5,3100,2h 1m,biography,121.0
158,Ena. La reina Victoria Eugenia,7.4,36,,biography,
159,Miss Fallaci,6.8,140,,biography,
160,Fanon,6.6,165,2h 12m,biography,132.0
161,Hayatla Baris,6.3,423,2h 5m,biography,125.0
162,Road Diary: Bruce Springsteen and the E Street Band,7.7,1100,1h 39m,biography,99.0
163,The Turnaround,7.2,696,25m,biography,25.0
164,Chhava,8.4,2300,51m,biography,51.0
165,Imposter: Back from the Dead,7.2,237,,biography,
166,Garbo: Where Did You Go?,5.9,281,1h 30m,biography,90.0
167,Now or Never!,2.2,17000,2h 15m,biography,135.0
168,"Thank You, Goodnight: The Bon Jovi Story",7.5,1700,,biography,
169,The Queen of Villains,7.5,666,,biography,
170,Ae Watan Mere Watan,4.7,1400,2h 13m,biography,133.0
171,John Cranko,7.0,230,2h 13m,biography,133.0
172,Jenni,6.8,48,1h 53m,biography,113.0
173,Butterfly,,0,,biography,
174,Project Alien Earth,7.6,9,,biography,
175,Yatra 2,6.2,9700,2h 12m,biography,132.0
176,See You in Another Life,7.4,1200,,biography,
177,Levoton Tuhkimo,6.4,537,1h 28m,biography,88.0
178,Never Look Away,7.1,308,1h 25m,biography,85.0
179,El gran salto,7.0,53,,biography,
180,Bray Wyatt: Becoming Immortal,8.5,758,2h 3m,biography,123.0
181,From Roger Moore with Love,7.3,527,1h 19m,biography,79.0
182,Hanno ucciso l'Uomo Ragno: La leggendaria storia degli 883,8.1,1500,,biography,
183,Bröderna Andersson,7.1,143,1h 24m,biography,84.0
184,Marcella,8.3,54,1h 37m,biography,97.0
185,"Iki Gözüm Ahmet, Sürgün",3.7,144,1h 53m,biography,113.0
186,The Movie Man,7.6,233,1h 29m,biography,89.0
187,Blur: To the End,7.1,799,1h 44m,biography,104.0
188,"Enescu, Skinned Alive",4.9,169,,biography,
189,Spacey Unmasked,5.9,1600,,biography,
190,Dr. Hedgewar,7.3,16,2h 40m,biography,160.0
191,The Court Jester,6.7,260,10m,biography,10.0
192,Lost Women Spies,6.7,121,,biography,
193,Laura,6.4,265,1h 44m,biography,104.0
194,Simone Biles Rising,7.3,2600,,biography,
195,Daughters of the Cult,6.4,575,,biography,
196,Padatik,7.9,121,2h 6m,biography,126.0
197,Simona Kossak,6.0,419,1h 40m,biography,100.0
198,Ernest Cole: Lost and Found,7.3,442,1h 45m,biography,105.0
199,Darío Gómez El Rey del Despecho,8.2,45,,biography,
200,Sabbath Queen,7.9,71,1h 45m,biography,105.0
201,Las abogadas,7.9,307,,biography,
202,The Heiress,,0,11m,biography,11.0
203,House of Ga'a,4.0,492,1h 59m,biography,119.0
204,The Life and Murder of Nicole Brown Simpson,7.4,260,,biography,
205,Münter & Kandinsky,6.3,125,2h 6m,biography,126.0
206,Chhatrapati Sambhaji,5.4,238,3h 6m,biography,186.0
207,Bogart: Life Comes in Flashes,6.9,495,1h 39m,biography,99.0
208,Madu,5.3,273,1h 40m,biography,100.0
209,The Tragically Hip: No Dress Rehearsal,9.3,653,,biography,
210,Sharon Stone: Survival Instinct,6.7,83,52m,biography,52.0
211,Suzzanna: The Queen of Black Magic,6.7,64,1h 28m,biography,88.0
212,Pastor's Kid,6.2,47,1h 30m,biography,90.0
213,Last to Brake,8.5,293,,biography,
214,The Sidemen Story,6.7,1700,1h 39m,biography,99.0
215,Greenwood Rising: The Rise of Black Wall Street,7.1,104,,biography,
216,Cookster: The Darkest Days,8.0,47,1h 59m,biography,119.0
217,Nasty,7.7,1100,1h 43m,biography,103.0
218,Gangland Chronicles,7.2,53,,biography,
219,La Grande,9.0,43,1h 35m,biography,95.0
220,George: Rise of a Revolutionary,8.7,35,,biography,
221,Wingless,7.2,231,1h 50m,biography,110.0
222,Ennio Doris - C'è anche domani,4.6,110,1h 30m,biography,90.0
223,The Ballad of Suzanne Césaire,5.7,41,1h 15m,biography,75.0
224,Gary,6.6,574,1h 31m,biography,91.0
225,Karina,6.3,66,1h 30m,biography,90.0
226,Concepción,7.8,32,2h 20m,biography,140.0
227,Prost,8.2,74,,biography,
228,Becoming Hitchcock: The Legacy of Blackmail,7.2,292,1h 12m,biography,72.0
229,Oscar Wilde About America,4.4,36,1h 38m,biography,98.0
230,Miriam: Death of a Reality Star,7.0,159,,biography,
231,God Be with Us,6.3,19,1h 30m,biography,90.0
232,Sadik Ahmet,7.6,446,2h 5m,biography,125.0
233,Patrice: The Movie,8.2,243,1h 42m,biography,102.0
234,Ol' Dirty Bastard: A Tale of Two Dirtys,6.7,239,1h 26m,biography,86.0
235,Admiral Kuznetsov,5.6,69,,biography,
236,Chabuca,6.7,261,1h 53m,biography,113.0
237,Miséria,4.1,110,1h 39m,biography,99.0
238,Blood'less' Revolution,6.7,328,1h 43m,biography,103.0
239,Serija Nedelja,7.9,89,,biography,
240,Silvio,3.1,558,1h 54m,biography,114.0
241,I Maria pou egine Kallas,7.0,178,,biography,
242,Cris Miró (Ella),6.6,243,,biography,
243,Janis Ian: Breaking Silence,7.8,167,1h 54m,biography,114.0
244,The Zelensky Story,8.1,404,,biography,
245,A Life Among Elephants,7.2,33,1h 30m,biography,90.0
246,Saint Nick of Bethlehem,8.8,105,1h 33m,biography,93.0
247,Child Actor,,0,11m,biography,11.0
248,Faruk,6.6,449,1h 37m,biography,97.0
249,Rock Bottom,6.3,72,1h 26m,biography,86.0
250,Thirty Years with the Whip,,0,1h 29m,biography,89.0
251,Basketball Jones: The First Chapter,9.6,6,,biography,
252,In the Arena: Serena Williams,7.9,198,,biography,
253,Mozart: Rise of a Genius,7.1,133,,biography,
254,Michael Jackson: Ungloved,6.3,29,1h,biography,60.0
255,Satyashodhak,8.3,383,2h 25m,biography,145.0
256,"Kati: Eine Kür, die bleibt",6.1,87,1h 39m,biography,99.0
257,Secret Succession,8.5,56,,biography,
258,Cold Case Files: The Grim Sleeper,6.3,15,,biography,
259,Mit einem Tiger schlafen,6.8,158,1h 47m,biography,107.0
260,Sube a mi Nube,5.9,60,1h 50m,biography,110.0
261,Komandir,6.3,542,2h 11m,biography,131.0
262,Good Doctor Thailand,8.2,22,,biography,
263,Memoir Seorang Guru,7.1,138,2h,biography,120.0
264,Kodenavn: Storfyrstinden,8.0,80,,biography,
265,Die Spaltung der Welt,7.2,117,,biography,
266,Diane von Furstenberg: Woman in Charge,7.3,337,1h 37m,biography,97.0
267,"Christopher Reeve, le Superman éternel",7.6,33,1h,biography,60.0
268,Il était une fois Michel Legrand,7.7,59,1h 49m,biography,109.0
269,Kulej. Dwie strony medalu,6.4,358,2h 28m,biography,148.0
270,Mike,7.7,58,,biography,
271,Obraz,7.5,29,1h 35m,biography,95.0
272,Go Against the Flow,5.3,174,1h 37m,biography,97.0
273,Born to Be Wild: The Story of Steppenwolf,6.9,54,1h 40m,biography,100.0
274,Harta Tahta Raisa,4.0,72,1h 50m,biography,110.0
275,Grundtvig,7.1,55,,biography,
276,Funmilayo Ransome-Kuti,8.5,102,1h 31m,biography,91.0
277,Aziz Mahmud Hüdayi: Askin Yolculugu,8.4,69,,biography,
278,Daytime Revolution,6.8,114,1h 48m,biography,108.0
279,The Peanut Man,5.5,78,,biography,
280,Nobelovac,7.3,234,,biography,
281,Son Sarki: Ahmet'in Türküsü,1.5,115,1h 41m,biography,101.0
282,Da Vinci,8.3,84,1h 21m,biography,81.0
283,Gold,7.7,82,2h 6m,biography,126.0
284,Spyral,8.4,22,1h 23m,biography,83.0
285,Aadi Shankaracharya,9.3,17,,biography,
286,The Legend of Sudarshan Chakra,9.0,26,2h 40m,biography,160.0
287,Estimados Señores,7.7,66,1h 38m,biography,98.0
288,Hope of Escape,7.8,47,1h 31m,biography,91.0
289,Shang hun,7.4,71,,biography,
290,All That She Wants: The Unbelievable Story of Ace of Base,7.2,185,,biography,
291,Schindler Space Architect,7.1,12,1h 33m,biography,93.0
292,Raghuveer,8.9,68,2h 5m,biography,125.0
293,Kombinatsiya,6.1,240,,biography,
294,PATTY,6.6,138,,biography,
295,Hawala,9.6,200,,biography,
296,O familie aproape perfecta,5.5,12,1h 28m,biography,88.0
297,Neither Donkey Nor Horse,6.2,58,28m,biography,28.0
298,Vivekam,8.2,308,1h 44m,biography,104.0
299,Lafran,8.4,20,1h 39m,biography,99.0
300,Taghiev: Oil,9.2,95,2h,biography,120.0
301,Leopardi. Il poeta dell'infinito,6.2,80,,biography,
302,The Final Copy of Ilon Specht,8.2,96,18m,biography,18.0
303,La valanga azzurra,7.8,12,1h 30m,biography,90.0
304,Glenn Fredly: The Movie,6.7,134,2h 1m,biography,121.0
305,Ellyas Pical,7.8,29,,biography,
306,Air bridge,7.4,999,,biography,
307,"Carville: Winning Is Everything, Stupid",7.2,283,1h 38m,biography,98.0
308,30 to 45,3.5,21,1h 58m,biography,118.0
